title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,country
"m 7.1 - 25 km sse of wau, papua new guinea",7.1,2011-12-14 05:04:00,6,6,no alert,0,834,us,485,0.0,10.6,mww,135.0,-7.551,146.809,"Wau, Papua New Guinea",Papua New Guinea
"m 6.9 - 39 km sw of santiago, peru",6.9,2011-10-28 18:54:00,6,7,no alert,0,847,us,474,0.0,46.5,mww,24.0,-14.438,-75.966,"Santiago, Peru",Peru
"m 6.5 - 4 km ese of finschhafen, papua new guinea",6.5,2011-10-14 03:35:00,3,6,no alert,0,655,us,423,0.0,12.6,mww,37.0,-6.57,147.881,"Finschhafen, Papua New Guinea",Papua New Guinea
"m 6.7 - 99 km ne of miyako, japan",6.7,2011-09-16 19:26:00,5,5,no alert,0,712,us,667,0.0,10.9,mwc,30.0,40.273,142.779,"Miyako, Japan",Other
"m 6.7 - 68 km wsw of kabanjahe, indonesia",6.7,2011-05-09 17:55:00,5,6,no alert,0,915,us,447,0.0,15.3,mww,91.0,2.965,97.893,"Kabanjahe, Indonesia",Indonesia
"m 7.0 - 133 km sse of isangel, vanuatu",7.0,2011-03-09 22:55:00,7,5,no alert,0,761,us,406,0.0,15.3,mww,185.1,-20.671,169.716,"Isangel, Vanuatu",Other
"m 7.0 - 64 km ese of contamana, peru",7.0,2011-08-24 17:46:00,6,6,no alert,0,913,us,471,0.0,26.9,mww,147.0,-7.641,-74.525,"Contamana, Peru",Peru
"m 7.1 - 64 km s of port-vila, vanuatu",7.1,2011-08-20 18:19:00,5,6,no alert,0,787,us,564,0.0,12.3,mww,28.0,-18.311,168.218,"Port-Vila, Vanuatu",Other
"m 6.5 - 65 km ssw of port-vila, vanuatu",6.5,2011-08-20 17:13:00,0,5,no alert,0,650,us,322,0.0,15.0,mwc,35.0,-18.308,168.156,"Port-Vila, Vanuatu",Other
"m 7.2 - 71 km ssw of port-vila, vanuatu",7.2,2011-08-20 16:55:00,8,6,no alert,0,813,us,280,0.0,18.4,mww,32.0,-18.365,168.143,"Port-Vila, Vanuatu",Other
"m 6.6 - 103 km ne of angoram, papua new guinea",6.6,2011-07-31 23:38:00,3,6,no alert,0,674,us,229,0.0,16.6,mww,10.0,-3.518,144.828,"Angoram, Papua New Guinea",Papua New Guinea
m 7.6 - kermadec islands region,7.6,2011-06-07 19:03:00,3,7,no alert,0,893,us,567,0.0,33.5,mww,17.0,-29.539,-176.34,Kermadec Islands region,Other
"m 6.7 - 41 km nne of miyako, japan",6.7,2011-06-22 21:50:00,6,6,no alert,0,749,us,592,0.0,24.9,mww,33.0,39.955,142.205,"Miyako, Japan",Japan
"m 6.8 - 124 km ne of w?, new caledonia",6.8,2011-10-05 08:55:00,4,5,no alert,0,734,us,519,0.0,12.5,mww,11.0,-20.244,168.226,"W?, New Caledonia",Other
"m 6.8 - 79 km w of kirakira, solomon islands",6.8,2011-04-23 04:16:00,5,6,no alert,0,719,us,445,0.0,13.0,mww,79.0,-10.375,161.2,"Kirakira, Solomon Islands",Solomon Islands
"m 6.6 - 17 km ssw of ishikawa, japan",6.6,2011-11-04 08:16:00,7,7,no alert,0,822,us,586,0.0,10.1,mww,11.0,37.001,140.401,"Ishikawa, Japan",Japan
"m 6.6 - 7 km sw of helio garc?a alfaro, mexico",6.6,2011-07-04 13:11:00,7,6,no alert,0,897,us,518,0.0,37.2,mww,166.2,17.208,-94.338,"Helio Garc?a Alfaro, Mexico",Mexico
"m 6.6 - 50 km ese of ?tsuchi, japan",6.6,2011-11-03 11:36:00,6,5,no alert,0,673,us,668,0.0,9.5,ms,25.7,39.241,142.463,"?tsuchi, Japan",Other
"m 6.5 - 81 km ne of hasaki, japan",6.5,2011-11-03 08:19:00,0,4,no alert,0,650,us,369,0.0,18.7,mb,6.8,36.166,141.562,"Hasaki, Japan",Other
"m 7.7 - 272 km ese of kamaishi, japan",7.7,2011-11-03 06:25:00,7,4,no alert,0,931,us,507,0.0,10.8,mwc,18.6,38.058,144.59,"Kamaishi, Japan",Other
"m 7.3 - 120 km se of ?funato, japan",7.3,2011-09-03 02:45:00,5,5,no alert,0,972,us,550,0.0,17.4,mww,32.0,38.435,142.842,"?funato, Japan",Other
"m 6.7 - 38 km w of constituci?n, chile",6.7,2011-02-14 03:40:00,5,6,no alert,0,731,us,358,0.0,33.9,mww,21.0,-35.38,-72.834,"Constituci?n, Chile",Other
"m 6.9 - 21 km n of tom?, chile",6.9,2011-11-02 20:05:00,7,7,no alert,0,988,us,382,0.0,34.7,mww,26.0,-36.422,-72.96,"Tom?, Chile",Chile
"m 7.0 - 118 km nne of tadine, new caledonia",7.0,2011-01-13 16:16:00,2,5,no alert,0,755,us,578,0.0,13.3,mww,9.0,-20.628,168.471,"Tadine, New Caledonia",Other
"m 7.3 - 141 km w of isangel, vanuatu",7.3,2010-12-25 13:16:00,0,5,no alert,0,820,us,409,0.0,12.0,mwc,16.0,-19.702,167.947,"Isangel, Vanuatu",Other
"m 6.7 - 111 km se of bam, iran",6.7,2010-12-20 18:41:00,3,7,no alert,0,708,us,279,0.0,24.3,mwc,12.0,28.412,59.18,"Bam, Iran",Russian Federation
